lead_id,chuck_id,mensaje_chuck,intencion,pre_precio,lead_clase
L02914,CHUCK_05,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L02532,CHUCK_09,te comparto los beneficios para tu caso de uso.,consulta_producto,1,frio
L01058,CHUCK_03,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L02601,CHUCK_05,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L01468,CHUCK_09,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L02583,CHUCK_06,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L02098,CHUCK_09,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L01912,CHUCK_10,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,frio
L00845,CHUCK_09,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,1,frio
L02822,CHUCK_01,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L00093,CHUCK_02,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L02318,CHUCK_09,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L01661,CHUCK_08,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L00098,CHUCK_09,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L01212,CHUCK_10,te ayudo con soporte tecnico paso a paso.,soporte,1,frio
L01258,CHUCK_07,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,0,frio
L01991,CHUCK_08,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L02584,CHUCK_04,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L02943,CHUCK_03,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L01992,CHUCK_01,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L01947,CHUCK_01,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L01696,CHUCK_06,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00283,CHUCK_06,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L01936,CHUCK_07,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L01999,CHUCK_05,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L02718,CHUCK_04,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L01218,CHUCK_02,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L02130,CHUCK_04,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,tibio
L02172,CHUCK_08,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L01322,CHUCK_07,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio
L00005,CHUCK_07,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L01067,CHUCK_05,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L02357,CHUCK_06,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,tibio
L02284,CHUCK_05,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L00712,CHUCK_05,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L00076,CHUCK_04,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio
L01704,CHUCK_01,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L00512,CHUCK_09,"hola, un gusto saludarte. en que te asesoro?",saludo,0,frio
L02030,CHUCK_07,quedo atento para continuar cuando te venga bien.,seguimiento,1,tibio
L01241,CHUCK_09,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L00411,CHUCK_10,"perfecto, hablamos pronto. que tengas excelente dia.",despedida,0,frio
L00009,CHUCK_09,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00425,CHUCK_09,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L01157,CHUCK_02,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L00728,CHUCK_04,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
L00031,CHUCK_02,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L02597,CHUCK_03,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente
L00435,CHUCK_06,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L01928,CHUCK_09,este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio
L02388,CHUCK_03,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L00007,CHUCK_04,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio
L02326,CHUCK_06,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L02328,CHUCK_04,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L00059,CHUCK_07,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio
L02442,CHUCK_07,"si quieres, te envio una tabla comparativa clara.",comparacion,0,tibio
L00884,CHUCK_05,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L02806,CHUCK_09,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,0,frio
L00694,CHUCK_03,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio
L00948,CHUCK_10,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L01084,CHUCK_06,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L02491,CHUCK_09,"si quieres, te envio una tabla comparativa clara.",comparacion,0,tibio
L01449,CHUCK_01,"hola, un gusto saludarte. en que te asesoro?",saludo,0,frio
L01383,CHUCK_06,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L00761,CHUCK_04,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L01165,CHUCK_09,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,tibio
L02630,CHUCK_02,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L00765,CHUCK_05,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio
L02704,CHUCK_01,"hola, un gusto saludarte. en que te asesoro?",saludo,0,frio
L00640,CHUCK_04,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente
L01265,CHUCK_02,"hola, un gusto saludarte. en que te asesoro?",saludo,0,frio
L00453,CHUCK_01,este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio
L00427,CHUCK_03,fue un gusto ayudarte. estoy disponible cuando lo necesites.,despedida,0,frio
L01771,CHUCK_04,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente
L00748,CHUCK_03,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L02793,CHUCK_10,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L01054,CHUCK_01,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L01552,CHUCK_03,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,1,frio
L02073,CHUCK_05,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,tibio
L00282,CHUCK_04,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00842,CHUCK_02,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente
L02711,CHUCK_03,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L01721,CHUCK_02,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L00451,CHUCK_02,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L00308,CHUCK_06,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L01482,CHUCK_02,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L00889,CHUCK_03,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00429,CHUCK_03,puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio
L02353,CHUCK_06,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L02932,CHUCK_08,este producto incluye soporte y configuracion inicial.,consulta_producto,1,frio
L02570,CHUCK_07,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,tibio
L02431,CHUCK_05,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L01961,CHUCK_03,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio
L01664,CHUCK_08,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L01859,CHUCK_04,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L02046,CHUCK_05,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L02605,CHUCK_02,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L00029,CHUCK_10,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L00960,CHUCK_04,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio
L00564,CHUCK_05,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L01937,CHUCK_02,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L02222,CHUCK_02,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L02058,CHUCK_04,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L01004,CHUCK_02,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L01139,CHUCK_04,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L02180,CHUCK_04,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L02143,CHUCK_05,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,tibio
L01068,CHUCK_05,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L01988,CHUCK_03,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L02626,CHUCK_02,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L02299,CHUCK_01,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L02987,CHUCK_03,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L02973,CHUCK_03,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L02085,CHUCK_07,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio
L00878,CHUCK_07,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
L00314,CHUCK_09,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L01933,CHUCK_06,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L01910,CHUCK_09,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L02686,CHUCK_06,fue un gusto ayudarte. estoy disponible cuando lo necesites.,despedida,0,frio
L00095,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L01328,CHUCK_09,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L00940,CHUCK_04,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00128,CHUCK_05,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
L02865,CHUCK_05,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00346,CHUCK_06,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
