lead_id,chuck_id,mensaje_chuck,intencion,pre_precio,lead_clase,lead_clase_id
L00001,CHUCK_04,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,tibio,1
L00002,CHUCK_01,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente,2
L00003,CHUCK_01,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00004,CHUCK_03,"Hola, un gusto saludarte. En que te asesoro?",saludo,0,frio,0
L00005,CHUCK_07,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00006,CHUCK_07,"Excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente,2
L00007,CHUCK_04,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio,0
L00008,CHUCK_06,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
L00009,CHUCK_09,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00010,CHUCK_09,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00011,CHUCK_01,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00012,CHUCK_04,Te explico las caracteristicas principales del producto.,consulta_producto,1,tibio,1
L00013,CHUCK_07,"Si te parece, coordinamos una demostracion personalizada.",agendar_demo,1,tibio,1
L00014,CHUCK_05,Te ayudo con soporte tecnico paso a paso.,soporte,0,frio,0
L00015,CHUCK_04,Te explico las caracteristicas principales del producto.,consulta_producto,0,tibio,1
L00016,CHUCK_03,Puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio,0
L00017,CHUCK_04,"Bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio,0
L00018,CHUCK_02,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00019,CHUCK_04,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00020,CHUCK_09,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00021,CHUCK_04,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
L00022,CHUCK_04,Te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio,1
L00023,CHUCK_03,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00024,CHUCK_09,Retomo la conversacion para ayudarte con la decision.,seguimiento,1,tibio,1
L00025,CHUCK_05,"Es normal tener esa inquietud, revisemos alternativas.",objecion,1,frio,0
L00026,CHUCK_02,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio,1
L00027,CHUCK_05,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00028,CHUCK_05,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00029,CHUCK_10,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio,1
L00030,CHUCK_07,Te explico las caracteristicas principales del producto.,consulta_producto,0,tibio,1
L00031,CHUCK_02,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00032,CHUCK_04,"Si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio,1
L00033,CHUCK_02,Te escribo para dar seguimiento a tu interes.,seguimiento,1,tibio,1
L00034,CHUCK_07,Fue un gusto ayudarte. Estoy disponible cuando lo necesites.,despedida,0,frio,0
L00035,CHUCK_04,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio,0
L00036,CHUCK_04,Te escribo para dar seguimiento a tu interes.,seguimiento,0,frio,0
L00037,CHUCK_04,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00038,CHUCK_10,Este producto incluye soporte y configuracion inicial.,consulta_producto,1,tibio,1
L00039,CHUCK_08,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente,2
L00040,CHUCK_06,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00041,CHUCK_08,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio,1
L00042,CHUCK_09,"Perfecto, hablamos pronto. Que tengas excelente dia.",despedida,0,frio,0
L00043,CHUCK_10,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio,1
L00044,CHUCK_01,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00045,CHUCK_04,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00046,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00047,CHUCK_04,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente,2
L00048,CHUCK_08,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00049,CHUCK_02,Te explico las caracteristicas principales del producto.,consulta_producto,0,frio,0
L00050,CHUCK_02,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio,1
L00051,CHUCK_08,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00052,CHUCK_05,"Excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente,2
L00053,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,1,frio,0
L00054,CHUCK_06,"Hola, gracias por contactarnos. Como puedo ayudarte hoy?",saludo,0,frio,0
L00055,CHUCK_09,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00056,CHUCK_04,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio,1
L00057,CHUCK_04,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio,1
L00058,CHUCK_06,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
L00059,CHUCK_07,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio,0
L00060,CHUCK_08,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00061,CHUCK_06,Te comparto los beneficios para tu caso de uso.,consulta_producto,1,tibio,1
L00062,CHUCK_04,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,0,tibio,1
L00063,CHUCK_03,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio,1
