lead_id,chuck_id,mensaje_chuck,intencion,pre_precio,lead_clase
L00001,CHUCK_04,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,tibio
L00002,CHUCK_01,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L00003,CHUCK_01,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00004,CHUCK_03,"hola, un gusto saludarte. en que te asesoro?",saludo,0,frio
L00005,CHUCK_07,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00006,CHUCK_07,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L00007,CHUCK_04,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio
L00008,CHUCK_06,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L00009,CHUCK_09,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00010,CHUCK_09,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L00011,CHUCK_01,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L00012,CHUCK_04,te explico las caracteristicas principales del producto.,consulta_producto,1,tibio
L00013,CHUCK_07,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,1,tibio
L00014,CHUCK_05,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L00015,CHUCK_04,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00016,CHUCK_03,puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio
L00017,CHUCK_04,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00018,CHUCK_02,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio
L00019,CHUCK_04,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00020,CHUCK_09,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L00021,CHUCK_04,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L00022,CHUCK_04,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L00023,CHUCK_03,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00024,CHUCK_09,retomo la conversacion para ayudarte con la decision.,seguimiento,1,tibio
L00025,CHUCK_05,"es normal tener esa inquietud, revisemos alternativas.",objecion,1,frio
L00026,CHUCK_02,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio
L00027,CHUCK_05,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00028,CHUCK_05,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L00029,CHUCK_10,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L00030,CHUCK_07,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00031,CHUCK_02,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L00032,CHUCK_04,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L00033,CHUCK_02,te escribo para dar seguimiento a tu interes.,seguimiento,1,tibio
L00034,CHUCK_07,fue un gusto ayudarte. estoy disponible cuando lo necesites.,despedida,0,frio
L00035,CHUCK_04,este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio
L00036,CHUCK_04,te escribo para dar seguimiento a tu interes.,seguimiento,0,frio
L00037,CHUCK_04,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00038,CHUCK_10,este producto incluye soporte y configuracion inicial.,consulta_producto,1,tibio
L00039,CHUCK_08,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L00040,CHUCK_06,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L00041,CHUCK_08,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio
L00042,CHUCK_09,"perfecto, hablamos pronto. que tengas excelente dia.",despedida,0,frio
L00043,CHUCK_10,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L00044,CHUCK_01,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00045,CHUCK_04,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00046,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00047,CHUCK_04,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L00048,CHUCK_08,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00049,CHUCK_02,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L00050,CHUCK_02,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L00051,CHUCK_08,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00052,CHUCK_05,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L00053,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,1,frio
L00054,CHUCK_06,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,0,frio
L00055,CHUCK_09,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00056,CHUCK_04,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00057,CHUCK_04,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L00058,CHUCK_06,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L00059,CHUCK_07,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio
L00060,CHUCK_08,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L00061,CHUCK_06,te comparto los beneficios para tu caso de uso.,consulta_producto,1,tibio
L00062,CHUCK_04,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,tibio
L00063,CHUCK_03,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00064,CHUCK_07,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00065,CHUCK_10,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,1,frio
L00066,CHUCK_03,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L00067,CHUCK_04,este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio
L00068,CHUCK_10,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L00069,CHUCK_05,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L00070,CHUCK_10,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,frio
L00071,CHUCK_04,"si quieres, te envio una tabla comparativa clara.",comparacion,0,tibio
L00072,CHUCK_02,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00073,CHUCK_06,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L00074,CHUCK_02,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L00075,CHUCK_05,retomo la conversacion para ayudarte con la decision.,seguimiento,1,tibio
L00076,CHUCK_04,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio
L00077,CHUCK_06,te escribo para dar seguimiento a tu interes.,seguimiento,0,frio
L00078,CHUCK_01,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,caliente
L00079,CHUCK_07,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00080,CHUCK_05,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L00081,CHUCK_03,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L00082,CHUCK_01,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00083,CHUCK_08,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00084,CHUCK_01,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00085,CHUCK_03,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00086,CHUCK_08,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L00087,CHUCK_01,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio
L00088,CHUCK_10,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L00089,CHUCK_03,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L00090,CHUCK_03,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,1,frio
L00091,CHUCK_07,puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio
L00092,CHUCK_09,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L00093,CHUCK_02,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L00094,CHUCK_10,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L00095,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L00096,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00097,CHUCK_04,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,1,tibio
L00098,CHUCK_09,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L00099,CHUCK_05,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L00100,CHUCK_01,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente
L00101,CHUCK_07,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente
L00102,CHUCK_05,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio
L00103,CHUCK_02,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente
L00104,CHUCK_08,este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio
L00105,CHUCK_03,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00106,CHUCK_04,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L00107,CHUCK_09,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L00108,CHUCK_03,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00109,CHUCK_04,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,1,caliente
L00110,CHUCK_06,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L00111,CHUCK_05,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L00112,CHUCK_08,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00113,CHUCK_05,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L00114,CHUCK_08,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L00115,CHUCK_05,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio
L00116,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00117,CHUCK_05,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L00118,CHUCK_10,quedo atento para continuar cuando te venga bien.,seguimiento,0,frio
L00119,CHUCK_03,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L00120,CHUCK_05,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
